City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,Zarinsk,53.7074,84.9493,61.57,60,94,5.26,RU,2021-06-01 16:07:20
161,Leningradskiy,69.3833,178.4167,27.14,90,66,13.04,RU,2021-06-01 16:07:20
162,Grand Gaube,-20.0064,57.6608,71.38,82,91,5.01,MU,2021-06-01 16:07:21
163,Shizunai,42.3339,142.3669,49.06,88,100,5.21,JP,2021-06-01 16:04:49
164,Bambanglipuro,-7.95,110.2833,59.61,88,65,5.03,ID,2021-06-01 16:07:21
165,Carutapera,-1.195,-46.02,86.18,64,10,6.82,BR,2021-06-01 16:07:21
166,Kununurra,-15.7667,128.7333,67.98,83,58,0.0,AU,2021-06-01 16:04:42
167,Upernavik,72.7868,-56.1549,31.44,84,61,2.95,GL,2021-06-01 16:05:20
168,Goderich,43.7501,-81.7165,72.03,81,1,6.93,CA,2021-06-01 16:07:22
169,Baker City,44.7749,-117.8344,66.94,53,1,4.61,US,2021-06-01 16:07:22
170,Palmer,42.1584,-72.3287,73.99,57,75,6.29,US,2021-06-01 16:07:23
171,Skjervoy,70.0311,20.9714,51.8,91,100,5.35,NO,2021-06-01 16:07:23
172,Evensk,61.95,159.2333,44.62,69,99,7.58,RU,2021-06-01 16:07:23
173,Magadan,59.5667,150.8,35.17,99,100,3.78,RU,2021-06-01 16:07:24
174,San Mateo Ixtatan,15.8319,-91.4781,62.15,55,52,4.34,GT,2021-06-01 16:07:24
175,Pevek,69.7008,170.3133,35.08,69,10,3.24,RU,2021-06-01 16:06:12
176,Tuktoyaktuk,69.4541,-133.0374,32.7,79,100,4.68,CA,2021-06-01 16:07:24
177,Esna,25.2934,32.554,108.07,7,0,19.42,EG,2021-06-01 16:07:25
178,Petropavlovsk-Kamchatskiy,53.0452,158.6483,37.99,81,75,3.51,RU,2021-06-01 16:07:25
179,Lorengau,-2.0226,147.2712,78.58,85,100,2.51,PG,2021-06-01 16:05:42
180,Nago,26.5881,127.9761,77.07,88,93,11.52,JP,2021-06-01 16:07:26
181,Mecca,21.4267,39.8261,102.15,18,12,8.5,SA,2021-06-01 16:02:38
182,Taoudenni,22.6783,-3.9836,114.39,6,38,4.0,ML,2021-06-01 16:03:37
183,Sabang,5.8933,95.3214,83.64,73,100,12.84,ID,2021-06-01 16:07:26
184,Menongue,-14.6585,17.691,70.45,23,94,2.06,AO,2021-06-01 16:05:41
185,Port Elizabeth,-33.918,25.5701,59.09,77,40,17.27,ZA,2021-06-01 16:04:32
186,Hervey Bay,-25.2986,152.8535,64.04,87,50,3.0,AU,2021-06-01 16:07:27
187,Lompoc,34.6391,-120.4579,76.14,100,90,3.15,US,2021-06-01 16:04:59
188,Saldanha,-33.0117,17.9442,59.09,82,0,11.54,ZA,2021-06-01 16:07:27
189,Port Blair,11.6667,92.75,83.39,76,13,5.21,IN,2021-06-01 16:07:28
190,Emerald,-23.5333,148.1667,63.82,75,78,9.55,AU,2021-06-01 16:07:28
191,Ahipara,-35.1667,173.1667,55.9,84,28,6.33,NZ,2021-06-01 16:04:46
192,Portland,45.5234,-122.6762,75.7,61,27,1.01,US,2021-06-01 16:01:47
193,Palu,-0.8917,119.8707,76.57,97,99,2.98,ID,2021-06-01 16:07:29
194,West Bay,19.3667,-81.4167,84.99,78,20,4.0,KY,2021-06-01 16:07:29
195,Severo-Yeniseyskiy,60.3725,93.0408,51.94,56,98,6.93,RU,2021-06-01 16:07:30
196,Krivosheino,57.3431,83.9261,58.6,96,98,6.04,RU,2021-06-01 16:07:30
197,Tasiilaq,65.6145,-37.6368,35.76,64,34,3.24,GL,2021-06-01 16:05:30
198,Loanda,-8.8368,13.2343,78.8,83,0,8.05,AO,2021-06-01 16:07:04
199,Gornyy,55.1153,83.9059,66.79,60,75,5.35,RU,2021-06-01 16:07:31
200,Wanning,18.8003,110.3967,82.76,93,100,9.82,CN,2021-06-01 16:04:57
201,Alofi,-19.0595,-169.9187,75.09,94,75,3.44,NU,2021-06-01 16:05:28
202,Kapustin Yar,48.5831,45.7372,74.84,61,98,9.01,RU,2021-06-01 16:07:31
203,Kawalu,-7.3817,108.2082,74.1,98,86,0.47,ID,2021-06-01 16:07:31
204,Klaksvik,62.2266,-6.589,49.12,77,100,19.86,FO,2021-06-01 16:07:32
205,Biak,-0.9131,122.8766,76.53,83,86,5.01,ID,2021-06-01 16:07:32
206,Yar-Sale,66.8333,70.8333,34.72,95,100,24.61,RU,2021-06-01 16:06:04
207,Lar,26.2039,83.9717,91.0,56,2,3.49,IN,2021-06-01 16:07:33
208,Egvekinot,66.3167,-179.1667,24.73,80,96,6.91,RU,2021-06-01 16:07:09
209,Lasa,46.6166,10.7002,71.51,51,36,0.89,IT,2021-06-01 16:04:42
210,Airai,-8.9266,125.4092,59.14,94,94,2.17,TL,2021-06-01 16:05:56
211,Beira,-19.8436,34.8389,72.55,77,73,9.64,MZ,2021-06-01 16:07:33
212,Sola,-13.8833,167.55,79.7,77,77,23.62,VU,2021-06-01 16:04:59
213,Whitianga,-36.8333,175.7,48.11,80,0,5.57,NZ,2021-06-01 16:07:34
214,San Luis,-33.295,-66.3356,68.23,33,95,11.86,AR,2021-06-01 16:07:34
215,Fortuna,40.5982,-124.1573,62.92,77,57,4.81,US,2021-06-01 16:05:33
216,Saint-Philippe,-21.3585,55.7679,74.79,77,52,10.69,RE,2021-06-01 16:04:57
217,Zaykovo,57.5613,62.7568,54.45,50,90,2.42,RU,2021-06-01 16:07:35
218,Ion Corvin,44.1167,27.8,53.37,96,100,17.0,RO,2021-06-01 16:07:35
219,Ambilobe,-13.2,49.05,73.42,74,5,2.98,MG,2021-06-01 16:07:35
